Nodes,measured,type,Activity
Adenine_c_,1,metabolite,-1
Cytidine-5'-DIphosphate_n_,1,metabolite,1
Cytidine-5'-DIphosphate_m_,1,metabolite,1
Cytidine-5'-DIphosphate_c_,1,metabolite,1
Cytidine-5'-DIphosphate_e_,1,metabolite,1
L-Citrulline_c_,1,metabolite,1
Ethanolamine_c_,1,metabolite,-1
L-Glutamine_c_,1,metabolite,1
Guanosine-5'-Monophosphate_n_,1,metabolite,-1
Guanosine-5'-Monophosphate_c_,1,metabolite,-1
Guanosine-5'-Monophosphate_g_,1,metabolite,-1
Reduced Glutathione_c_,1,metabolite,1
Hypoxanthine_c_,1,metabolite,-1
Inosine_c_,1,metabolite,-1
Inosine_e_,1,metabolite,-1
Isovaleryl Carnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_c_,1,metabolite,-1
O-Propanoylcarnitine_m_,1,metabolite,-1
O-Propanoylcarnitine_x_,1,metabolite,-1
S-Adenosyl-L-Homocysteine_c_,1,metabolite,-1
Succinate_c_,1,metabolite,-1
Succinate_m_,1,metabolite,-1
Uridine_e_,1,metabolite,-1
Uridine_c_,1,metabolite,-1
Adenosine_e_,0,metabolite,-1
L-Glutamate_c_,0,metabolite,1
Cytidine 5'-Monophosphate_m_,0,metabolite,1
CPT1A,0,metab_enzyme,-1
CDS1,0,metab_enzyme,1
ACAA1,0,metab_enzyme,-1
ENTPD1,0,metab_enzyme,1
NME2,0,Kinase,1
NOS1,0,metab_enzyme,1
NT5E,0,metab_enzyme,-1
PLD1,0,metab_enzyme,-1
PDE9A,0,metab_enzyme,-1
PDE10A,0,metab_enzyme,-1
BCAT1,0,metab_enzyme,1
P4HA1,0,metab_enzyme,-1
Propanoyl Coenzyme A_m_,0,metabolite,-1
ADA,0,metab_enzyme,-1
CRAT,0,metab_enzyme,-1
Propanoyl Coenzyme A_x_,0,metabolite,-1
CMPK2,0,metab_enzyme,1
2-Deoxyadenosine_c_,0,metabolite,-1
NME1_NME2,0,protein,1
Alpha-D-Ribose 1-Phosphate_c_,0,metabolite,-1
UPP2,0,metab_enzyme,-1
GGT6_GGTLC2,0,protein,1
GLUL,0,metab_enzyme,1
NME2_NME1,0,protein,1
PNP,0,metab_enzyme,-1
Metab__cdpdag_hs_m_,0,metabolite,1
CRLS1,0,metab_enzyme,1
KMT2A,0,metab_enzyme,-1
PRKACA,0,Kinase,-1
SRC,0,Kinase,-1
MAPK14,0,Kinase,-1
PROX1,1,TF,-1
MYCN,1,TF,1
MYC,1,TF,1
E2F3,1,TF,1
STAT1,1,TF,1
IRF1,1,TF,1
HIF1A,1,TF,1
RUNX1,1,TF,1
SP1,1,TF,1
MTA1,1,TF,-1
VDR,1,TF,-1
FOXM1,1,TF,1
AR,0,TF,-1
ATF1,1,TF,1
CEBPA,1,TF,1
SPI1,1,TF,1
MAX,1,TF,-1
SMAD3,1,TF,1
RARA,1,TF,-1
RXRA,0,TF,-1
NR4A1,1,TF,-1
NCOA2,1,TF,-1
JUN,1,TF,1
RBPJ,1,TF,1
NR2F1,1,TF,-1
EDN1,0,Kinase,1
STAT2,1,TF,1
CXCL1,0,Kinase,1
USF1,0,TF,-1
TFDP1,1,TF,1
IRF9,1,TF,1
DAG1,0,protein,1
ATF4,1,TF,1
HNF4A,1,TF,-1
SP3,1,TF,1
NFKB1,1,TF,1
EPAS1,1,TF,1
ETS1,1,TF,1
LYL1,1,TF,1
CREB3,1,TF,1
AHR,1,TF,1
ETS2,1,TF,1
PPARD,1,TF,1
FOSL1,1,TF,1
CLOCK,1,TF,-1
ESRRA,1,TF,-1
ECM1,0,Kinase,1
ZBTB7A,1,TF,1
MAFB,1,TF,-1
ZEB1,1,TF,1
TCF4,1,TF,-1
HMGA1,1,TF,1
ATF6,1,TF,1
NRF1,1,TF,-1
E2F4,1,TF,1
GATA6,1,TF,-1
CUX1,1,TF,-1
POU5F1,1,TF,-1
IRF2,1,TF,1
CEBPD,1,TF,1
IRF3,1,TF,-1
KLF5,1,TF,-1
NFKBIA,1,TF,-1
KMT2A,1,metab_enzyme,-1
MAFK,1,TF,-1
ZEB2,1,TF,-1
TFCP2,1,TF,1
IKZF1,1,TF,1
MAZ,1,TF,-1
UBTF,1,TF,-1
TEAD1,1,TF,-1
MEIS1,1,TF,-1
ATF7,1,TF,-1
ZHX1,1,TF,1
KLF13,1,TF,1
TSC22D4,1,TF,1
PBX2,1,TF,-1
MEIS2,1,TF,-1
POU2F2,1,TF,1
RFXAP,1,TF,1
RFXANK,1,TF,1
EHF,1,TF,-1
ZNF175,1,TF,-1
GRHL2,1,TF,-1
KMT2A,1,TF,-1
Guanosine-5'-Triphosphate_c_,0,metabolite,1
PIK3CA,0,Kinase,1
AK5,0,metab_enzyme,1
CASP3,0,Kinase,-1
MAPK14,0,Kinase,1
MAPK3,0,Kinase,-1
MAPK1,0,Kinase,1
RELA,0,TF,1
PAK1,0,Kinase,-1
SMAD4,0,TF,1
CDK1,0,Kinase,1
HIPK2,0,Kinase,-1
ABL1,0,Kinase,1
GSK3B,0,Kinase,1
CSNK1A1,0,Kinase,-1
WEE1,0,Kinase,1
ZBTB17,0,protein,-1
NR1D1,0,Kinase,1
EP300,0,Kinase,-1
FOXO3,0,TF,-1
BTK,0,Kinase,1
