Nodes,measured,type,Activity
HDAC1,0,Kinase,1
MEN1,0,protein,-1
APEX1,0,Kinase,1
KAT2B,0,Kinase,1
SUMO1,0,protein,1
ESR1,0,TF,-1
HSF1,0,TF,-1
YY1,0,TF,-1
SUFU,0,protein,1
IFNAR1,0,Kinase,1
MAPK12,0,Kinase,-1
PPP2CB,0,Kinase,1
TRIB3,0,Kinase,-1
GATA2,0,TF,1
PPP3CA,0,Kinase,-1
PPP2R1A,0,Kinase,1
CIITA,0,protein,1
MED1,0,Kinase,-1
WT1,0,TF,-1
PPARGC1A,0,Kinase,-1
ELF1,0,TF,-1
NUP50,0,protein,-1
TCF7L1,0,protein,1
CEACAM1,0,protein,-1
ELF3,0,TF,-1
PAX8,0,TF,-1
