target,tf,mor
ATF7IP,ADNP,1
DYRK1A,ADNP,1
TLK1,ADNP,1
ZMYM4,ADNP,1
ABCC1,ADNP,1
ABCC6,ADNP,1
ABHD5,ADNP,1
ABT1,ADNP,1
AC002066.1,ADNP,1
AC002127.4,ADNP,1
AC005514.2,ADNP,1
AC006076.1,ADNP,1
AC006552.1,ADNP,1
AC007319.1,ADNP,1
AC007792.1,ADNP,1
AC010649.1,ADNP,1
AC011288.2,ADNP,1
AC024084.1,ADNP,1
AC073284.4,ADNP,1
AC092171.4,ADNP,1
ACBD6,ADNP,1
ACP7,ADNP,1
ADAMTS10,ADNP,1
ADAMTS14,ADNP,1
ADCY7,ADNP,1
ADGRG1,ADNP,1
ADGRV1,ADNP,1
AHCY,ADNP,1
AIF1L,ADNP,1
AIM1L,ADNP,1
AKNA,ADNP,1
AKT2,ADNP,1
ALDH1A1,ADNP,1
ALDH1A2,ADNP,1
ALX4,ADNP,1
ANGPT1,ADNP,1
ANGPTL2,ADNP,1
ANKRD24,ADNP,1
ANO6,ADNP,1
ANTXR2,ADNP,1
AP000442.4,ADNP,1
AP1M1,ADNP,1
ARHGEF1,ADNP,1
ARHGEF10L,ADNP,1
ARHGEF37,ADNP,1
ARID3A,ADNP,1
ARID5B,ADNP,1
ARL5A,ADNP,1
ARPC3P5,ADNP,1
ASAP1,ADNP,1
ASCC2,ADNP,1
ATG14,ADNP,1
ATP2B1,ADNP,1
ATP8B3,ADNP,1
AXL,ADNP,1
BBC3,ADNP,1
BHLHE40,ADNP,1
C12ORF76,ADNP,1
C16ORF45,ADNP,1
C19ORF66,ADNP,1
C1ORF100,ADNP,1
C1ORF127,ADNP,1
C1ORF167,ADNP,1
C6ORF223,ADNP,1
CACNA1A,ADNP,1
CACNA1I,ADNP,1
CCDC187,ADNP,1
CCDC26,ADNP,1
CCNY,ADNP,1
CD83P1,ADNP,1
CDCP1,ADNP,1
CDH1,ADNP,1
CDH23,ADNP,1
CDHR3,ADNP,1
CDK5RAP2,ADNP,1
CEBPB,ADNP,1
CERS6,ADNP,1
CFAP157,ADNP,1
CHST11,ADNP,1
CHST3,ADNP,1
CIITA,ADNP,1
CKM,ADNP,1
CLIP1,ADNP,1
CLIP2,ADNP,1
CMIP,ADNP,1
CMKLR1,ADNP,1
CNGB1,ADNP,1
CNKSR3,ADNP,1
CNN1,ADNP,1
COL26A1,ADNP,1
COL27A1,ADNP,1
COLGALT2,ADNP,1
CORO2A,ADNP,1
COX6A1P2,ADNP,1
CPEB4,ADNP,1
CPNE2,ADNP,1
CPPED1,ADNP,1
CRADD,ADNP,1
CRB2,ADNP,1
CRISPLD2,ADNP,1
CSF3R,ADNP,1
CTA,ADNP,1
CTB,ADNP,1
CTD,ADNP,1
CTRC,ADNP,1
CUX1,ADNP,1
CUX2,ADNP,1
DAPK2,ADNP,1
DENND1A,ADNP,1
DEPDC5,ADNP,1
DISP3,ADNP,1
DLGAP4,ADNP,1
DNAJB12,ADNP,1
DNAJC6,ADNP,1
DNM1,ADNP,1
DNM2,ADNP,1
DOCK6,ADNP,1
DPP3,ADNP,1
E2F2,ADNP,1
EBI3,ADNP,1
ECE1,ADNP,1
EEF2K,ADNP,1
EHF,ADNP,1
EIF4E,ADNP,1
EIF4G3,ADNP,1
ELFN1,ADNP,1
ELL2,ADNP,1
ENG,ADNP,1
EPB41,ADNP,1
EPB41L1,ADNP,1
EPHA2,ADNP,1
EPHB4,ADNP,1
ERCC1,ADNP,1
ERCC2,ADNP,1
ERN2,ADNP,1
FAF1,ADNP,1
FAM129B,ADNP,1
FAM129C,ADNP,1
FAM222A,ADNP,1
FAM46B,ADNP,1
FAM49B,ADNP,1
FBN3,ADNP,1
FBXW11,ADNP,1
FCHO1,ADNP,1
FHAD1,ADNP,1
FIBCD1,ADNP,1
FLNB,ADNP,1
FNIP2,ADNP,1
FXN,ADNP,1
GABBR2,ADNP,1
GADD45B,ADNP,1
GDF15,ADNP,1
GDPD5,ADNP,1
GFI1B,ADNP,1
GMPR,ADNP,1
GNA15,ADNP,1
GPR160,ADNP,1
GPR89P,ADNP,1
GRIFIN,ADNP,1
GRIP2,ADNP,1
GRM4,ADNP,1
GSE1,ADNP,1
GSN,ADNP,1
GTDC1,ADNP,1
GTF2IRD1,ADNP,1
HBS1L,ADNP,1
HFE2,ADNP,1
HIP1,ADNP,1
HIST1H3PS1,ADNP,1
HMGA1P3,ADNP,1
HMGB1P1,ADNP,1
HMGB3P32,ADNP,1
HMGN2P13,ADNP,1
HMGN2P25,ADNP,1
HMGN2P47,ADNP,1
HMGN4,ADNP,1
HNF1A,ADNP,1
HNRNPA1P1,ADNP,1
HSD17B12,ADNP,1
HTR1D,ADNP,1
ID1,ADNP,1
IFFO2,ADNP,1
IGF2BP2,ADNP,1
IL12RB1,ADNP,1
IL21R,ADNP,1
INPP5B,ADNP,1
INPP5D,ADNP,1
INSR,ADNP,1
IQSEC1,ADNP,1
IRF2BP1,ADNP,1
ISPD,ADNP,1
ITPR1,ADNP,1
JAK3,ADNP,1
KAZN,ADNP,1
KCNK1,ADNP,1
KCNK3,ADNP,1
KCNN3,ADNP,1
KIAA0232,ADNP,1
KIF13A,ADNP,1
KSR1,ADNP,1
LAMC3,ADNP,1
LAPTM5,ADNP,1
LASP1,ADNP,1
LDLRAP1,ADNP,1
LGR4,ADNP,1
LHPP,ADNP,1
LINC00324,ADNP,1
LINC00534,ADNP,1
LINC00870,ADNP,1
LINC00877,ADNP,1
LINC00963,ADNP,1
LINC01012,ADNP,1
LINC01234,ADNP,1
LINC01267,ADNP,1
