"","11TU","15TU","16TU","24TU","29TU","32TU","38TU","40TU","11KI","15KI","16KI","24KI","29KI","32KI","38KI","40KI"
"d8-valine",36.860371091136,36.17736997837,36.7470792115193,36.0709015384032,35.5452600226823,36.0345187116223,35.9868379125927,35.7541059709987,35.6604191581222,35.9976125177971,36.5035408927258,35.9194773782468,36.1372944946293,36.2145792306535,35.7505977160553,35.1650117060061
"inosine",26.7545135640037,26.710459338645,25.6177811678239,27.7265208027511,27.2893573991831,26.0458139752359,26.6325682167141,24.6025153951789,27.5539408431633,27.8196726773234,27.8082227790053,27.5689899475371,27.6978858534058,26.6047514092689,27.0524556392936,27.050361346161
"linoleic acid",27.050632106227,25.2555452070755,27.8887965111188,25.5737315246967,24.6800323095897,25.1608930634066,25.3730767260537,25.4239773280628,27.1972606832206,26.1503505526077,26.1694641052384,26.2683570260495,26.9526779895721,26.0880745671634,26.3887250211277,26.1523927858264
"myristic_acid",25.9524472514592,23.0729059587622,25.3549580609966,23.5098998914036,22.4881538605402,22.9110988739368,23.3979280173065,24.1936321732419,25.2439705892682,22.0259864500019,23.284180151639,23.5671067946747,24.0584626522103,22.9545671673753,23.4124045710029,23.2127934202848
"oleic_acid",28.4774054854694,26.6373850698364,30.0796536248648,27.0734988071304,25.6240421493459,26.3203031067382,26.7385224255385,27.1442878353978,27.8359798881944,26.2577055926069,26.7915606556993,27.1659780480686,27.9855983389384,26.4657044090231,26.9846144092715,26.5811600893932
"palmitic_acid",29.1917776943267,27.6933756935829,30.8537642754838,27.8569247787652,26.9594247180501,27.4071756381218,27.382466076414,27.9770011717386,28.5782308674573,27.4138378243935,28.3940102141558,28.1807060892352,29.1873764653756,27.9601361411144,28.1610105451453,27.6729771415264
"palmitoleic acid",26.2834407127291,23.6273177820981,26.0690120687172,23.4196122562445,21.6582084533929,22.48261816342,23.528762743431,24.1083231104449,25.7320705265504,22.3625714031402,22.8632531849415,23.8168426313078,23.84275601694,21.6785752385052,23.7582690126801,23.2075849419491
"stearic acid",27.4728770471163,26.3368215640571,30.0121241448649,26.1778318852307,25.5114283046562,26.1510682717135,26.0030011929441,26.4873716902734,27.0974617642764,26.0824667012279,27.2711114509888,27.0169491054319,28.0907881347122,26.6139411973144,26.8529123667133,26.5879364196003
"stearoyl_carnitine",NA,24.4123880514261,27.0629535257564,22.8869445741933,23.0254670774536,27.8687170004846,22.8810692690832,24.1103615808531,25.1290041127883,25.1061511085436,25.845898390213,24.6932358822896,25.8341431433652,25.6648788491764,24.8468701577937,24.4533812443762
"oleylcarnitine",25.489070653899,27.1032107982176,29.4636364662396,25.5384799327894,24.3945276346753,29.1109205178099,25.8957536233099,26.836247684526,26.4423806130155,27.0997448199807,26.7149675757846,26.9005840483252,27.1316242519074,26.9532549920304,26.689749807468,26.3194993174746
"palmitoylcarnitine",24.9812359398707,26.5554818088607,28.2307551572749,24.9848998598481,24.327289541237,28.723377765315,25.2171300865366,25.9584565736451,26.2719553814255,26.717921401363,26.368158376671,26.6748239252133,26.8773584480914,26.9195744981944,26.2561434973897,26.4654488664785
"myristoylcarnitine",23.4855955306015,24.0878699158041,24.9605147610499,23.8633352249891,23.0460276056247,26.4652929514271,23.429253343855,24.618292209796,24.700153339323,24.8006875232744,24.6225301279005,24.8511033161906,25.0796134288437,24.7556274546875,24.8651662114846,24.8971850738312
"octanoylcarnitine",22.7721637762862,22.3444288474277,22.9513711733613,23.0983609275178,23.1334666862042,23.3244704789976,22.7670660113342,24.0460438363636,21.182397866823,22.5586531308561,22.0206922825252,21.5196234593388,23.328389428922,22.4326485060038,22.1095502809008,22.2223642429108
"KIV",24.2785891436769,21.348926960223,24.3436026158433,21.3409749437104,20.745503390287,22.3340263364611,21.3943530699376,22.631536990814,20.0197275465497,20.3022688491319,18.7722976409992,21.3535756885239,21.2866841945794,21.2653545952553,20.9584181218745,22.4660156421314
"kynurenic_acid",NA,19.3277777441206,NA,NA,NA,NA,NA,NA,20.442102720813,17.7365988923158,20.4504206237951,17.5477646334265,NA,21.4072620954976,22.1608772393955,19.5719081746937
"isovalerylcarnitine",23.3961699945501,23.3487433960205,24.067452469989,25.094989991217,23.7871944109438,25.9388829984167,23.3558109869411,25.0693990443247,26.0318439775153,26.7911988769255,25.8730970073038,25.5657187753961,26.7918016095876,26.3484620350945,26.3367270529492,26.0006146157032
"nicotinamide/picolinamide",26.8690256082535,28.0887956400374,26.8504724334447,28.1241644914424,27.998489261321,27.220572276312,27.4998125915104,27.0279800572369,26.5149813893594,26.8272080540813,27.2592246869407,26.8929056759551,28.3177906293774,27.0625469869709,26.0736237224174,28.0297420857719
"butyrylcarnitine",27.9934671536403,27.9226873110408,29.073081061021,27.9608470967646,27.4220473006842,29.839528674077,26.7281417407499,28.4163494137459,28.478034112001,28.9936538893005,29.4477378366848,28.3082308185912,29.4913671981482,28.9650708283078,28.6846479780438,28.9554652478418
"riboflavin",NA,NA,NA,NA,14.0670289636871,NA,NA,NA,19.4052013723613,18.2233207250022,18.5320171175097,19.3807860986027,16.8002457733545,17.6259117105873,19.9360257761636,19.554165976266
"pyruvate",25.9086455746019,24.0600890276486,26.7243967989753,22.2932861330524,22.9036526810024,23.8185454443061,22.7362036841427,23.9383737789761,21.6494380003365,NA,21.9973768256706,22.5613476570927,24.8246475265355,23.1093460903031,22.674966069047,22.7428487677425
"stereamide",20.4525800308418,19.3517577860385,24.1067167655667,19.8108610773651,18.1864733504871,20.8203974736157,19.4229911216886,18.46080083944,NA,17.1845375312978,18.8988040184378,NA,NA,17.5758550309957,16.3841246592945,17.7076842029663
"creatinine",30.8992038905945,31.728493986182,30.5209388961787,29.6255030843869,29.6237907062808,29.3898159936314,29.7942452387136,29.7286189902067,30.7006620830034,31.2964601228978,31.2572579256343,32.0223961084677,31.5365163670659,30.8058741090447,31.1724487341253,31.223233688817
"3-hydroxybutyrate",28.7151503450594,28.1153500857076,28.8725587441347,27.3050121535746,25.5253515035024,26.8038520675376,27.3379158570975,27.9854076219207,28.4003694312448,27.9774330366259,28.8135563437811,27.7678461713145,25.8525157588179,27.2920351475095,28.0591257288294,28.3327268068964
"acetylcarnitine",31.6341806863752,32.3654847248138,32.0187688184548,35.3724956560912,32.7950643892145,35.0558243012253,32.8223327195304,33.1286157011299,32.4989746261007,33.5045654803676,33.5005116803953,33.3261788495426,34.0934079749422,33.7717088990744,32.8982757098638,33.4935223568552
"propionylcarnitine",25.883659662143,27.6627090007364,26.5938988703382,28.1297779803377,27.6469732832794,29.0861592258561,28.585769341044,28.4410795341511,28.9846089443071,29.9758209114403,28.5299930419949,29.2541940214717,28.8323665742587,29.5370268998221,29.2047284270284,29.6727906549747
"lactate",30.7735338723153,31.8146958938518,33.0739318850511,31.4236056943016,32.4237066846725,32.1527560399756,31.807918409573,30.529630759747,31.7862607474655,31.7943415318186,32.2481882809492,31.43317964064,32.6318778555208,31.5916331022794,31.7942474499777,30.9060711145628
"adenosine",30.6737398099848,27.7144189848629,26.5855070370723,28.6470753170859,27.5692669925761,25.2407517773107,29.3624272266579,29.0001100635937,29.2086289458729,29.702811858991,27.8012939173526,29.5842135470449,27.7781269268398,28.3208901818151,29.1294823694042,30.0179278531444
"phenylalanine",29.4865793517177,28.3236829605833,30.7872111333416,27.9152313979187,29.8284182481198,28.8543890969758,28.4277556556648,28.2590790483625,29.1284615820337,28.7004851240369,29.5853830881301,28.3284853181628,28.6509515693916,29.1963299116411,29.469233853199,28.5757483922282
"glycerol",26.4161462793103,25.2715913374479,26.3996356342179,24.8920818516422,25.0645422172329,24.5051904715345,25.4400868982019,24.5139635256647,26.281433159884,25.6721378567975,26.8644425124965,26.1367788763754,26.4613077184143,25.5091079961119,26.2225027028407,24.9251320479442
