"","11TU","15TU","16TU","24TU","29TU","32TU","38TU","40TU","11KI","15KI","16KI","24KI","29KI","32KI","38KI","40KI"
"adenine",27.4167459870768,26.3565387660854,25.3171915321774,26.4590492671422,26.4617879660961,23.9244271322677,26.7833752456434,26.7541691214286,28.2691181001719,27.9469066320546,26.4955580257518,27.1729922779262,27.4188769204031,26.099285685706,26.4060395019477,27.829432750367
"guanine",25.1853496304841,25.7357011628891,NA,25.451308847543,NA,NA,NA,NA,NA,NA,NA,NA,24.4902702276199,NA,NA,NA
"hypoxanthine",28.5564936462015,29.2320245616524,29.1288082514225,29.799759649583,29.6310026835089,29.2339921872949,29.9319782949699,28.1665885693354,31.0866930034236,30.7438254276329,31.3851685957459,30.5401142509654,30.5654281967622,30.1751227476822,30.3161459045348,29.8075360157587
"leucine",30.6196117196182,29.8659523874494,31.5356440049194,28.4296375615198,30.49289532237,29.1239285213519,29.4093104762175,29.2721131344582,30.0868416190212,29.6504494236071,30.4038878663915,29.6638125209006,29.5928224044074,30.1242936928565,30.535571110031,29.5625492518768
"urea",28.9609624859703,29.1506166070097,29.3301147007587,26.0247209968357,27.8879388352718,26.0633521514881,28.0538703401012,28.2747220483125,27.710420365029,28.6571935938823,28.1599856485086,28.0291163012978,29.0658257912388,27.8879063065397,27.994535911235,28.098878130471
"isoleucine",29.8623651857748,29.2658929529792,31.0132944111741,27.7792018967608,28.7162521729209,27.7266402523589,27.9311504627358,28.226602936518,29.2917605990352,29.1136175303415,29.7796301331823,29.0163216766448,27.8559702735017,29.112555710373,29.3016415967286,28.422211403926
"kynurenine",24.1359568003006,24.7020532934505,25.614614166527,24.8066755076522,20.235952063309,18.5454380571966,22.8479796263247,24.2988988078092,21.7549555056948,22.9422924087326,22.7694008816298,21.147598115527,20.2884375346975,22.4322403316488,21.2478580283546,21.9754820695805
"methionine",28.5131495480171,27.7270200612301,29.4762964325869,26.5772358568515,28.0563637128589,27.0143576576343,26.6848003514793,27.6125157538468,28.3097213753297,27.722099026223,28.3484067186497,27.942239642626,27.5017150165448,28.2935414772117,28.5601728611646,27.9511511012409
"tryptophan",28.6382493169721,26.981847858814,28.8602599416014,25.8985534519583,28.2538743301146,26.9066045402741,26.9308181941815,27.0993523252357,27.6801634392102,27.1487171722086,27.7352910608354,27.1923317373329,27.2186862452073,27.4807338544652,27.7721338679543,27.4878676831429
"cytidine",22.8499948856318,24.5223112960898,21.7876555056801,22.5298428760733,26.0977213113029,18.8065256601187,23.8512103192904,23.7144569470336,23.6241340336671,25.6411012449867,24.2685237597159,24.9890397817885,22.1264936574021,25.2936300513255,24.856008357169,24.3944761462615
"cytosine",20.7924914162185,22.669374521467,18.9450988108273,19.3601061908224,24.2141816243666,NA,21.7044797006349,21.5453502398334,21.4914425545532,23.5788691127818,22.1701868427565,23.0022320194653,18.8201959929925,23.2906641091725,22.7022450456171,22.6127730864244
"proline",31.2736112650884,31.4679400142017,32.637786325934,30.1865520302213,32.5867065787535,32.1526074841506,31.7512012754724,31.4131541476942,31.0124637065878,30.9341899537755,31.5169830711178,30.8345510344762,32.4935506789873,31.4424244027173,31.5161328210467,30.9724142378357
"citrulline",26.5934153142573,25.2452265678285,26.7475248827187,24.9390404222402,25.31140243959,24.6120879863642,25.2061955503863,25.3885271953663,23.4808607977518,22.1247732546143,23.3095093384318,24.0480274142516,27.1017645575014,22.7322879381869,23.3918722889451,23.6957741885574
"carnitine",33.1762928947125,33.4648068057336,32.0152701154686,34.9909238770765,33.4010359138597,34.79675243787,35.1288438476982,34.3392581616076,32.962856047189,33.8334920628271,33.045119396955,33.2606102888711,34.3449038406706,33.6479548485161,33.2445906482923,33.6001290347907
"fructose",25.4660294268398,23.851796666377,24.1163308473476,20.7809958997231,23.0699150272965,23.0248654565573,24.6104401286828,22.7075006626051,22.7374352716203,22.9209209712622,21.300776507225,23.0333935646768,24.8794929124138,22.5440708139904,21.5608830885401,22.1421682386549
"acetylcholine",27.830681067053,29.2220164009457,26.7786683126255,29.8459118991601,27.3059335463729,29.0816495896946,29.7169541689694,28.6523485792609,27.378361755797,28.4665689343775,27.6580841259212,28.2701576105496,32.1033072125465,28.2702563670209,27.8152431273919,28.189164034246
"tyrosine",28.2492332766091,27.4679645122577,29.4660952612295,26.8325152860677,28.642389039915,27.2145666390055,27.0862877965683,27.365553922921,27.9288374328758,27.747592742458,28.1541676073406,27.6425787034617,27.6090795495312,28.1462423769658,28.4023698469697,27.8908072122571
"guanosine",25.2963229092292,24.993608078971,23.1610074734797,25.4846920960835,24.3944424916797,21.470209332713,24.0579735893266,22.46266985731,23.1810715866012,24.3758694374621,23.8885579621029,24.3875669401007,25.1593313483593,23.3716144923252,23.7070902331407,23.8851131904293
"sorbitol",27.7016393035141,24.3932804366052,25.2761579168897,25.9465226832313,25.923361535426,25.9624939961529,27.4786659440591,26.3393397712755,27.4089337157551,22.9642044262012,22.4119796570942,27.82969916079,28.5313236247131,27.2733666594157,27.8064738573639,28.0353995234017
"argininosuccinate",17.2993141434182,18.2074557274055,NA,21.1123750691781,24.3628633578104,21.711943830699,22.1989168704469,22.1979513158667,21.794737487844,20.7743820271488,20.6732210612518,21.1957222733734,20.3554942945283,21.7223220771315,22.4912382417101,21.3695313214197
"histidine",29.8072812548428,28.3224489922004,29.8242986128391,27.5814764743468,29.0745864278768,28.0935193779099,28.5934391491992,28.4748230362966,28.9397310049692,28.4165913237821,28.8497026983325,28.7183592960397,28.6263524757217,29.4114308621584,29.5011543927664,28.7746916035477
"taurine",30.4024448109843,31.0470852955368,29.5903242120367,30.3950744440386,29.5642776026643,30.2128743827188,30.065625490833,30.6091965933557,29.9549501714897,30.6425127318816,30.3406282147643,30.6134608491848,28.7813735238604,30.2490326289216,30.0248642873045,30.2920469283732
"creatine",33.744131356546,33.8135196506536,33.7902400078489,30.9839965007922,32.3628143281532,33.4975071027228,33.5750543961718,32.0593812031554,32.7127378925866,33.8503521934488,33.8362199278469,33.2131486807409,32.8860714145348,32.6881903676501,32.8770224844698,32.7902375807814
"hypotaurine",NA,19.9043518375749,NA,22.1407396860956,21.196394561011,18.6742065154538,24.0400513212535,23.5084184062412,17.5175766693692,18.8868567283256,NA,18.5154907703355,22.8458103470024,17.3651493341043,NA,19.1320523369247
"2-HG",23.9525450006078,24.9900017206664,25.9456749475012,24.2099269988335,24.6594435706275,27.571134701681,23.8074953210415,25.034939381141,22.9013042018066,23.0825971100257,24.0047472036745,23.9916902836419,24.4556482632319,24.3948214843085,22.6404222728795,23.185375249879
"gluconate",19.7332985735155,23.1778446509029,22.3617721331294,26.7655541127457,22.0082428178798,22.8119534303589,23.7874264499151,21.0759926887069,22.6404105651401,25.5075212705119,23.309295766783,22.8122353038174,20.7484000787125,23.3019569268825,23.3872187362478,22.762580564345
"glutamine",32.1362447334423,31.732319472038,31.9649833291572,30.9407289541443,31.5590614603442,31.6311208545884,31.4523413216517,31.6229575397559,29.7860535639549,30.0237379153093,30.2797180934554,30.5976057736597,31.7468481599649,30.7470224207194,30.0258893207725,30.3722613661176
"S-Adenosyl-Homocysteine",23.8642266045728,23.6234637760144,22.1626672091318,23.6183627338684,24.0270320432967,24.1729770795282,23.7424990419061,23.1122391031337,24.5984272404118,23.9833801129683,24.073968370046,24.5192062825201,24.2380626469542,24.4662977425394,24.2208132584422,23.915839985093
"GABA",27.1021118155743,26.5758775539028,25.1712011840481,27.4718543001343,26.96575767585,26.5828214161922,28.5156276203184,27.6077053446503,27.5987683230704,28.1607819027175,27.7274998141676,27.0334343794658,27.5616855103589,27.3140399490965,27.6339292624218,26.3664206647791
"asparagine",26.7006063972132,26.3880523719055,27.4844844906342,25.7289219250316,27.0482093947436,26.4151604356655,26.0052930644458,26.1492986609839,26.3712125136889,25.9481004463782,26.5403679631944,25.97349681672,26.2374348282248,26.57918511778,26.7528165243912,25.8310506613202
"threonine",28.2845639180851,27.6310565167157,29.1333625289141,27.2886209511315,28.7952973336916,27.7509543228886,27.3758159933988,27.9460756995164,27.8234987464409,27.2614692588075,27.9838960104361,27.6392038721835,28.212726157632,28.139225408324,28.2554696829583,27.7699466987383
"NAD",20.1362890562421,21.8970225390525,19.1816322727225,21.2679666326958,21.0725824634147,22.5214857347611,21.813801164214,22.6814792580402,22.0977602401913,23.1975067374224,22.9074633890322,22.7910273436423,19.2996512502856,22.5689121482,22.6689747956051,22.1183222604225
"glycerylphosphorylethanolamine",25.0929231768887,26.3094232664096,25.7950534661329,28.010171646884,26.099440313206,25.6338926572671,26.3255406084448,27.1304434730077,27.3631846348677,27.5773712993687,27.3484318870107,27.4591316390095,27.1353574353677,27.1704786108607,26.9619818406425,26.9472799702605
"AMP",28.7678107872503,27.7586537626209,26.2059328612545,28.0381118792531,27.2730571483872,26.7011057598188,27.5485703459863,28.148807815272,28.4271336123578,28.8493927782992,28.4976977890785,28.8836372613936,28.1381264239245,28.428707503311,28.0406439771797,28.7887753884867
"glucose",26.0839474808343,25.3810559587626,22.0534305150353,23.7432797437478,23.671505048579,22.4534816480656,23.7049577275283,24.1212171060685,23.5252713622813,24.8044542930282,20.1219240435698,23.6292822815502,NA,23.8729243265018,21.9318216475588,24.2973351761509
"GMP",23.7208492622616,21.8688971342517,21.3573652177836,23.0053135314621,22.534991405439,23.3103112956408,22.6712247937257,22.8603849728205,24.7809808944796,24.9310639396904,24.6308677424783,24.8742283920334,22.9371506782377,24.3555221717925,24.1589484284079,24.7005545073664
"glycine",26.7316294123701,26.1111222240065,25.7731875505899,26.0925326471877,26.1213204163883,25.8192620256898,25.6323234962579,26.0353196311723,25.9038873447143,26.3179761622073,25.7835142299039,26.3292467862897,25.9215277717728,26.1074046173472,26.0699712060888,26.2486971882468
"serine",25.5817151650493,25.0467807360286,26.1149021970536,24.5053624084854,26.6279076443503,25.8630825879599,25.2393252669907,25.1194614891978,25.2424960463933,25.2446625277681,25.0375135222197,25.4108778085127,26.1222457574042,25.9836103580029,25.6439489154525,25.0913484929184
"GSH",29.0889260226202,30.1656649598709,28.0051568887234,29.3919441788264,29.1389479206441,29.7556342326402,30.1187133823794,29.968641127503,27.5693821934542,28.7645034533512,28.5452856892196,27.4377408446081,27.5431268617199,27.7750443650369,26.7078360698728,27.0882382585605
"glutamate",31.3796575414676,32.251088090378,30.2357062550198,31.331707999707,31.4613834227355,32.2134086535924,31.6877488290346,31.2582890711774,31.1215919965677,31.5180671435799,31.3977728405722,31.4571281048557,30.3310627859465,31.4300852308559,31.0382370410404,31.2172859080512
"N-acetylaspartate",24.5968396904983,26.3061106800058,22.63245094176,23.1538899011241,24.1990327152396,23.8136598544209,23.6611323389109,23.5663680019253,28.6843774262927,28.511658551959,27.7703277971567,28.2599233480849,29.2343386995826,28.012432519992,27.8478124356163,27.9749880751765
"alanine",28.589691990357,27.6736659577885,28.3092836073094,28.2990856018374,29.2527253593675,29.2241738692674,28.5475773534691,28.6927542185679,28.7189678135279,28.351620083855,28.6832857024049,28.2760309620746,28.5343758523989,28.9457134560449,28.9926904841327,27.9507543729762
"aspartate",28.2272490854933,29.0190710953105,26.9982782493619,27.9994045464316,27.4062480783833,25.8854967334688,27.9358461305532,27.7645205646615,26.9876610887933,27.376311053106,27.209221313855,26.8377474235122,26.5763343199239,27.3769652761617,27.0301647443957,26.8071064502919
"S-Adenosyl-Methionine",22.6175725498218,23.1143841265068,24.6504333623895,21.5416545898623,24.9563887877806,23.448793308316,20.0993933554785,21.1262885198526,22.1986220474058,23.5063658062879,23.557239286934,23.7316411534087,23.4749575609586,23.1473082957359,22.4210128411662,21.5672513147052
"glycerylphosphorylcholine",31.2209926829096,32.8000546208929,32.3249412820243,33.9671960876586,32.9341664786719,32.2336661170757,32.6609764877379,33.1485400264614,31.70803890312,32.0222061132623,31.6977309805939,32.144750574846,33.7871750159756,31.8797061873467,31.5178529398631,31.300666854271
"succinate",24.6959350348081,25.8979317642639,25.357986524472,25.562889401272,27.1934915431509,26.4027283908305,25.9064387626227,25.5317613982402,28.4561351723237,28.5454127896046,28.4966465780846,27.8447743870398,26.4219413630365,27.9124546958695,27.8150464378872,27.0840976889404
"S-(2-Succinyl)cysteine",14.4612096965215,19.2602769791778,15.9363416908781,19.815847404886,19.991716905454,18.5696535929432,19.5157948851265,18.7457018099818,19.1776890000868,18.946252421299,19.2862121168402,19.4510293518196,18.3279819257065,18.9178783889974,19.1882260415458,19.7950172482586
"phosphoenolpyruvate",NA,17.0749032415074,NA,19.35042401685,18.6079291404663,19.2228891085248,20.5681569890045,18.0388017129422,NA,18.298792680559,17.5548767036353,19.1643166638451,NA,18.4530548030436,16.9203459132383,20.9651471862229
"3-Phosphoglycerate",NA,22.108635974743,NA,23.0429385529116,21.2566082394614,22.6479428423661,22.8760903229518,21.0107947273555,21.2050468289912,21.8812731113735,21.0532478062752,22.3379239136087,NA,21.1720817655638,22.4024124700012,23.2642347871012
"ADP",23.8611553941011,25.782166847913,22.1416373036971,25.4382494192997,25.2462926175569,25.1786885103487,25.6038131785911,25.5401920587056,24.6140184738241,25.6525085037522,24.9577088913918,24.7392160701361,22.3045397753209,24.7087126074266,24.5783677882486,25.4435074109737
"aKG",24.4349848117408,23.7163976883466,23.1216446143806,22.8972460910008,22.9246720779479,26.0883299655453,22.7829898638738,24.360741613523,22.1745026755745,20.2883097403778,21.8780882575878,23.2975218912368,22.4670123073444,24.0587032705402,23.4976482260534,24.3896227070893
"CMP",22.4477096730475,20.2206711186322,18.2275745084551,21.18881709759,21.4753561922493,21.3082492294351,21.0139644815547,21.7485313011545,20.767291748111,20.8988157988833,20.5391312356128,21.6173352711402,21.2136078230219,20.6132666558674,20.4418764779553,22.4192040479179
"ethanolamine",28.5171429471947,28.1405158877266,28.2178828959262,27.9445019943577,27.6195387229208,28.0367606078608,27.2879779249499,27.4463838296897,28.8275074639088,28.3088202860804,29.0740190018287,28.6649542103359,29.5430330894821,29.2005326095742,28.6311929805024,28.1071845945688
"malate",27.8105619232584,28.3495197320218,26.7725770445395,29.841874288611,29.8033765085103,29.5275752109098,29.1920988038558,28.9432171523585,29.4922294310266,29.4456131777301,29.3689713747471,29.2639467584129,28.8251122403348,29.7569426775154,29.7251364058463,29.0793917671945
"succinyladenosine",NA,16.1867453177529,14.9334513633891,18.9413080185894,20.6008976071214,17.5233664929715,17.2006812611002,NA,21.7189172985093,21.5345732444549,21.1796753705415,20.7160470554354,19.3536984601764,21.6829167627067,22.0479515740735,20.0414565167261
"aconitate",24.4018026319018,24.0769560253559,23.6002050029104,24.4844539017388,23.6098802124591,25.1563812481588,23.6977335277721,23.6664977862415,20.8658517939304,22.5849939770521,22.8769888710466,23.3904498111267,23.7036730686186,24.6760835544124,22.6748535965986,23.3800914769165
"choline",31.1843056104931,31.1756018718588,31.7926422742291,32.3200166958965,31.0718529750434,31.8142077444912,31.6352214463607,31.4251490933369,31.5120015736695,30.6020822162975,31.7465884298145,31.0114688450334,32.6689354641905,31.4806492919761,31.5755278754424,30.9095698285804
"fructose 6-phosphate",19.063930526923,22.1473053356261,20.2566993400656,23.6506139454142,22.4356278759777,24.9237714406799,25.6504379129195,23.0926779300195,19.852780701217,21.7804823723037,20.7475335907899,21.0234112312217,20.0313012327522,20.9095987948319,19.9064563049066,21.1023983344208
"sedoheptulose_7-phosphate",NA,20.2888416000015,NA,20.9468215672833,19.2418759996688,21.3947783483486,20.1403626952828,NA,NA,17.5928340798028,NA,17.206498029034,NA,NA,NA,18.4807823640474
"fumarate",22.9317757305161,23.6918590760095,20.669042622272,25.6541657040731,25.5566367691692,25.3318165828398,25.0355867903031,24.5371912197039,25.6336491590721,25.3070176536306,25.2792516541291,25.2063655135624,24.3438369226434,25.6079800858577,25.9486661122059,25.2864950298066
"uridine",18.4128366765026,18.1067721861037,16.1976808110786,21.5675131954696,20.3742047287785,18.0719643332354,18.8820725824564,15.5109895264431,21.1544640425339,21.8132672769204,19.7315858134376,21.5877840641942,20.4828756781189,20.8997375385847,20.4526568645397,20.3199111833708
"glucose 6-phosphate",18.1866983654793,21.5567911405013,19.7586922335142,22.3066958128074,20.9708914487369,22.10944080414,21.9771472484626,19.6526268612933,20.4973284531091,21.7258244439672,20.6716383899362,21.0409931750271,20.862376852187,20.9472516366147,20.623451077245,20.815174089224
"uric acid",23.2375276611413,22.5861309416532,23.20340926953,19.760438330836,21.2137692041652,19.4648060984737,21.0922451493727,21.7924919810452,21.0814833269081,21.4643271520026,20.9379139158114,21.7415090449364,22.4029739864763,21.9639197640518,21.7418462627799,22.6819122073523
"GSSG",22.6820184295156,22.9342845988277,19.3667988706927,22.9019972662652,21.854529852302,22.9251436644715,24.3207579039517,24.0388535095379,20.6309557783336,20.5178216934471,21.5427909164888,17.3665278110414,20.5969517451054,18.8646307190694,17.5344846700796,21.5607015676196
"ornithine",24.7522031260281,23.716639716642,25.9259301675134,23.8246648263104,28.2802789603406,26.8756595437856,25.1758794608359,25.1366271451258,24.1179366202337,23.6764929088769,24.9225659229845,24.3683753064772,25.584213324458,24.5573205244825,24.3906311232775,23.75949678434
"adenylosuccinate",NA,NA,NA,16.9875125166864,18.5513465763285,15.5234302055358,13.2315791998562,NA,20.883385025122,20.495074775982,18.8789677228526,19.6752090277333,NA,20.3317062879728,21.0165805777439,21.249528339561
"citrate",28.7697587191493,28.3678945806803,28.2563661509234,28.6910377555998,27.8657716645689,28.8241937729972,28.1959236415745,28.2620253902956,27.1813484585995,27.8456887829777,27.8344653378345,28.2000392645744,28.0364578954081,28.8405578108562,27.7440559103878,28.0657303789555
"ascorbic acid",26.0439479530226,27.4773826185028,24.0856715165829,18.6112996591886,25.0052088336274,NA,NA,NA,23.821634217063,26.8245739730702,26.7656274457039,26.0069424301411,NA,NA,21.7612243448461,26.1246755998944
"quinolinic acid",NA,24.9022018487841,22.3961641108143,NA,NA,NA,NA,NA,NA,NA,17.6296961739585,NA,NA,18.2818389742186,NA,19.1367138258072
"UMP",23.1065849034728,21.3397110776059,21.2283476911246,23.4971739502028,21.9868966530669,22.5801563377668,22.4008657603255,22.9395021003812,22.7052690033556,22.9922463280584,22.8780692849084,23.8242876293445,22.1604834878336,22.7206566912539,22.0105732244147,24.1165173490611
"6-phosphogluconolactone",NA,17.183336434089,NA,22.6701371352724,18.1536989274489,18.764082218399,20.0956572411794,18.186908663153,NA,NA,NA,NA,NA,NA,NA,14.8892685347638
"lysine",27.4845312763788,26.5958463316236,28.3062052380202,25.7092335008734,30.1293128285638,28.0863602409448,27.767726491229,27.2504703553247,26.6498686856717,26.6575122915421,27.059944514032,26.6265594144857,27.4942920117391,27.5345584012039,27.8866111173367,26.5915289734216
"arginine",28.7971918676037,28.0679767039104,29.5728073724177,27.2057179838472,30.4088456513803,28.0515048901581,29.0945700919461,28.8720847115061,27.7085122897538,27.9123120501069,28.3644499551613,27.8607541177431,28.6548073709857,28.3405713022959,28.3184766562732,27.8603807550173
"ATP",NA,24.7806220185593,14.0465068694041,23.9937410651023,23.1804825928213,24.0714829831056,24.8452917942502,24.5197891838299,20.6385691518113,22.6335970251672,20.8993191050563,20.7220757897606,13.9453543171274,21.2216061190139,21.4515486967372,22.0809835862265
"UDP",19.5618768678275,20.7827401186735,15.8479147177681,20.4989566203034,19.0027280905171,19.666114714733,20.5028798196257,20.6147588630254,17.7850102103028,19.5458887400216,17.8362792504017,18.6232683348769,NA,17.3190999782746,16.9789242633521,19.8855118835969
"CDP",14.1744714330277,18.8017890928003,NA,19.100486567993,18.1099036371355,18.4088973254978,18.9139594588779,19.6807201382568,NA,15.3086406658984,13.6531873969194,15.4639582962162,NA,14.653171381202,14.5661957649599,18.4157921843624
"GDP",17.6391426843457,20.8620976480203,NA,21.4193316521416,19.6255389969162,20.2053223391965,21.2756902348062,21.4827028923254,19.9753094294342,20.7657585137321,20.1838527059445,19.5339951381362,14.418236079313,19.2151289584377,19.8411789665952,20.8751327262044
