"","V1"
"PAK2",1.3918331872605
"PRKCD",1.07803203357189
"PIM2",1.16361213096569
"CAMK2A",0.00607191372038133
"CSNK2A1",-3.35234854571116
"AURKA",1.55067885454761
"VRK1",-0.0343500184449042
"CDK7",1.63558761723379
"EGFR",-1.97675434859002
"PRKAG2",-0.691035965752925
"FYN",-0.227308915158376
"PRKAA1",-1.9107516105879
"CDK12",0.504285324749507
"CAMK4",-0.497458610018366
"PRKAA2",-0.554632649167392
"MAPKAPK2",2.37869679702351
"CAMK1",-0.915146325842457
"RPS6KB1",1.74404062718297
"AKT1",2.86956755860146
"TBK1",3.38166601417153
"PRKCB",2.77116012289967
"SYK",-0.513499760313838
"LYN",1.89718812168105
"PRKCI",1.03499164316335
"MAPK11",0.994552982229216
"RAF1",0.729817617874303
"CDK11B",0.102290357447411
"GSK3B",0.247121975702666
"AKT2",1.77428657301309
"PRKCQ",1.6794990775149
"PRKACB",-1.43185194400832
"RPS6KA1",1.69570282953479
"CHEK1",0.761586286783799
"PRKACA",4.03948341072024
"MARK1",0.809805654225398
"MAPK3",2.55256032756264
"CDK16",0.457068849740252
"SRC",1.72726513005238
"CDK3",0.292700301405645
"RPS6KA4",1.56985001362972
"PRKCE",-0.355158323124289
"PTK2B",-0.668016736518769
"UHMK1",2.18672960624196
"MAPK9",3.1311967005059
"CDK1",3.31477672728975
"PRKG1",0.216955987880892
"PAK4",0.390491056559833
"MARK2",0.0805599144550189
"MAPKAPK5",0.884455967491867
"ABL1",-0.487668144409574
"CSNK1A1",0.0195865210845154
"CHEK2",-0.148158482801598
"PRKCA",2.76007131320454
"HIPK2",0.224746322438709
"CLK1",-1.84906921451017
"CDK10",0.234967478264225
"PRKDC",1.51680045238625
"PKN1",2.50667597335186
"PRKD1",-0.259405543428375
"MAP3K7",2.04061276412967
"MET",0.860087685287355
"CLK2",-0.330589570404378
"SGK1",2.5180053965244
"MTOR",2.2076706374332
"CDC7",1.75268366258908
"MAPK8",2.16009975060553
"MAPKAPK3",2.751366099948
"ARAF",-1.64761862752607
"MAPK1",3.19626405790895
"LCK",0.457133303776164
"IKBKE",2.06020416622369
"BTK",0.144607497706352
"MAPK12",-0.823309366842241
"PDPK1",-1.12901646264055
"CDK4",1.96237542522566
"CSNK2A2",-2.01947623482842
"LRRK2",2.68057965484286
"MAPK14",1.78742125062711
"CHUK",0.777637485766272
"CDK2",3.69325863145649
"NLK",1.83816935751387
"EEF2K",1.99099184323697
"RET",0.183492072048253
"GSK3A",0.89094713371676
"DYRK1A",0.214484691418988
"NEK3",-0.432548534100059
"PLK1",2.11250582069642
"JAK2",-0.431567904319736
"CDK19",0.102290357447411
"CDK5",1.4239379842373
"CAMK2B",0.381971716061649
"ROCK1",0.675968649095314
"PRKG2",0.343146389950901
"CDK9",0.726164659843273
"MAP2K1",1.20456418139089
"PAK1",2.45834968459714
"CDK6",1.62491518074986
"CDK8",0.844970578268554
"PTK2",0.373742057039194
"PRKAB1",-0.133605380283869
"MAP2K2",1.09065949868653
"MAPK7",1.60157034721482
"PIM1",0.708187779772707
"DYRK2",2.84062353068963
"BUB1",2.088371785496
"ATR",2.22732330484421
"HCK",-0.439047512617569
"INSR",0.543976791661246
"MAP3K8",0.845131669882837
"RPS6KA3",0.965339114288761
"ATM",2.61904389806401
"MAPK13",0.501933038684898
"IKBKB",2.48114459129752
"RPS6KA2",0.235519903613368
"AURKB",3.96030648853541
"STK4",-0.681319129790751
"PRKCZ",-0.604835399790642
"SRPK2",0.801355157474658
"PRKX",3.14022678928194
"MAPK6",0.864635824908563
"CAMK2G",-0.441974087881611
"PDK1",0.0553247058029545
"BRAF",0.939394159098232
"NEK9",1.63602097832213
"PRKCG",0.580695603401932
"WEE1",1.16613194618602
"PLK3",0.271371974521366
"CDK13",0.234967478264225
"MAPK10",1.39878399863635
"CDK20",0.234967478264225
"AKT3",2.13138538664101
"RPS6KA5",1.3393889645502
"STK17A",1.59224370064055
"MAPK15",2.2258584676868
"TTBK1",-3.11015434777774
"MAPK4",1.92640412876654
"CDK5R1",-0.693858163637201
"PPP1CC",0.00532994027521812
"CCNB1",2.05090746184222
"PPP2CA",0.453440471869301
"RPTOR",1.59020869109033
"AKT1S1",2.22086853638635
"MLST8",1.73377941212359
"DEPTOR",1.73377941212359
"PTPN1",0.83572434389122
"PPP1CA",0.157466545609195
"PPP3CA",0.247965771196055
"PPP3CC",0.247965771196055
"PTPRG",0
"PRKAG3",-0.691035965752925
"PRKAG1",-0.691035965752925
"PRKAB2",-0.691035965752925
"PTPN11",0.403135690321322
"PPM1D",-0.820471929434839
"PPP3CB",0.247965771196055
"PTPN2",-0.0898309631211103
"PPP2CB",0.213359861616188
"DUSP4",0.52002065773705
"PRKACG",-0.980891142075919
"DUSP3",0.52002065773705
"PPP1CB",0.717164022331207
"PPP3R1",0.474303241910007
"PTPN7",0.604617156046136
"PTEN",1.12941607190494
"TNF",1.07955747271835
"CDK17",1.72588623143408
"PRKY",3.14022678928194
"RSKR",-0.695707958058772
"CDK18",0.234967478264225
"RPS6KA6",-0.695707958058772
"PKD1",-0.0758898471489697
"AGT",0.216656552551141
"EGF",2.12733734585832
"INS",0.197377211334708
"FGF2",0.136818999493395
"IFNG",1.06843131994824
"RAC1",3.96201121325177
"HGF",1.16592863183829
"PMAIP1",2.12927462949195
"F2",0.124410497907081
"IGF1",-0.979260877136178
"FN1",0.203850860650273
"RPS6",1.2362475630894
"GCG",-0.639032621144539
"AVP",-2.0856532635747
