Nodes,measured,type,Activity
ATF4,1,TF,1
ATF7,1,TF,-1
BCL3,1,TF,1
BHLHE40,1,TF,-1
CEBPD,1,TF,1
CREB3L1,1,TF,1
E2F3,1,TF,1
E2F4,1,TF,1
EGR1,1,TF,1
EOMES,1,TF,1
EPAS1,1,TF,1
ERG,1,TF,1
ESR1,1,TF,1
ESR2,1,TF,1
ESRRA,1,TF,-1
ETS1,1,TF,1
ETS2,1,TF,1
FOXM1,1,TF,1
GATA2,1,TF,1
GRHL2,1,TF,-1
HES1,1,TF,1
HIF1A,1,TF,1
HINFP,1,TF,1
HNF1A,1,TF,-1
HNF4A,1,TF,-1
HOXA10,1,TF,1
IKZF1,1,TF,1
IRF1,1,TF,1
IRF2,1,TF,1
IRF3,1,TF,1
IRF4,1,TF,1
IRF9,1,TF,1
KLF5,1,TF,-1
LYL1,1,TF,1
MAF,1,TF,1
MEF2C,1,TF,1
MTA3,1,TF,1
MYC,1,TF,1
MYCN,1,TF,1
NCOA2,1,TF,-1
NFATC1,1,TF,1
NFE2L1,1,TF,-1
NFKB1,1,TF,1
NFKBIA,1,TF,-1
NR1H3,1,TF,1
NR4A1,1,TF,-1
POU2F1,1,TF,1
POU5F1,1,TF,-1
RARG,1,TF,1
RBPJ,1,TF,1
RELB,1,TF,1
RFXANK,1,TF,1
RFXAP,1,TF,1
RUNX1,1,TF,1
RXRB,1,TF,1
SPI1,1,TF,1
SREBF2,1,TF,-1
STAT2,1,TF,1
STAT3,1,TF,1
TAL1,1,TF,1
TCF7,1,TF,1
TP53,1,TF,1
USF1,1,TF,1
ZBTB33,1,TF,-1
ZBTB7A,1,TF,1
Estradiol_c_,0,metabolite,1
Estradiol_r_,0,metabolite,1
HSD17B1,0,metab_enzyme,1
PIK3CA,0,Kinase,1
PRKACA,1,Kinase,1
SRC,1,Kinase,1
LYN,1,Kinase,1
MAPK14,1,Kinase,1
MAPKAPK2,1,Kinase,1
JAK2,0,Kinase,-1
MAPK3,1,Kinase,1
MAPK1,1,Kinase,1
AKT1,1,Kinase,1
ATM,1,Kinase,1
ATR,1,Kinase,1
ARNTL,0,TF,-1
CDK2,1,Kinase,1
PAK1,1,Kinase,1
MTOR,1,Kinase,1
AKT1S1,1,Kinase,1
NOTCH1,0,protein,1
IKBKE,1,Kinase,1
AKT2,1,Kinase,1
PMAIP1,1,Kinase,1
MAPK8,1,Kinase,1
CDK1,1,Kinase,1
IKBKB,1,Kinase,1
MAP3K7,1,Kinase,1
RPS6KB1,1,Kinase,1
GSK3B,0,Kinase,1
PLK1,1,Kinase,1
SGK1,1,Kinase,1
DYRK2,1,Kinase,1
TBK1,1,Kinase,1
SMARCA4,0,Kinase,1
EGFR,1,Kinase,-1
EGF,1,Kinase,1
CSNK2A1,1,Kinase,-1
EP300,0,Kinase,-1
GATA3,0,TF,1
PRKCA,1,Kinase,1
MEF2A,0,TF,-1
APEX1,0,Kinase,1
MTA1,0,TF,-1
CDC7,1,Kinase,1
NLK,1,Kinase,1
NPAT,0,protein,1
BUB1,1,Kinase,1
AKT3,1,Kinase,1
MAPKAPK3,1,Kinase,1
MAPK9,1,Kinase,1
RAC1,1,Kinase,1
MAX,0,TF,1
PTPN11,0,Kinase,1
SMAD4,0,TF,1
PKN1,1,Kinase,1
SMO,0,Kinase,-1
PRKCB,1,Kinase,1
FGR,0,Kinase,-1
PRKX,1,Kinase,1
EEF2K,1,Kinase,1
CSNK2A2,1,Kinase,-1
LRRK2,1,Kinase,1
WT1,0,TF,-1
PRKAA1,1,Kinase,-1
CDK4,1,Kinase,1
UHMK1,1,Kinase,1
CTNND1,0,Kinase,1
CLK1,1,Kinase,-1
MAPK15,1,Kinase,1
CIITA,0,protein,1
PTP4A1,0,protein,1
HLA-A,0,protein,1
B2M,0,protein,1
CD8A,0,Kinase,1
MAPK4,1,Kinase,1
CCNB1,1,Kinase,1
MLST8,1,Kinase,1
TFAP2A,0,TF,-1
ZEB1,0,TF,1
ATF6,0,TF,1
DEPTOR,1,Kinase,1
RELA,1,TF,1
MAPKAPK5,0,Kinase,1
STAT1,1,TF,1
TAB2,0,Kinase,-1
JUN,1,TF,1
LEPR,0,protein,-1
DUSP1,0,Kinase,1
TRAF3,0,protein,1
MAPK13,0,Kinase,-1
BMPR2,0,Kinase,-1
BMP4,0,Kinase,-1
PPP2CA,0,Kinase,-1
DVL2,0,protein,1
CBLB,0,protein,1
VEGFC,0,Kinase,1
SKP2,0,Kinase,1
GNG2,0,protein,1
TFAP4,1,TF,-1
IGFBP1,0,protein,-1
RRAGB,0,protein,-1
AGER,0,Kinase,-1
NDRG2,0,Kinase,-1
